"Data","Temp. Ins. (C)","Temp. Max. (C)","Temp. Min. (C)","Umi. Ins. (%)","Umi. Max. (%)","Umi. Min. (%)","Pto Orvalho Ins. (C)","Pto Orvalho Max. (C)","Pto Orvalho Min. (C)","Pressao Ins. (hPa)","Pressao Max. (hPa)","Pressao Min. (hPa)","Vel. Vento (m/s)","Dir. Vento (m/s)","Raj. Vento (m/s)","Radiacao (KJ/m2)","Chuva (mm)","p_rt1","p_inc100k","Nivel","Rt","Receptivo (Bool)","Nivel Inc.","Casos"
"2017-03-31",23.32,23.87,22.81,78.28,80.86,75.74,19.04,19.51,18.64,1009.23,1009.47,1008.97,1.54,150.95,4.87,1372.51,162.2,0.29,1.04,2.5,0.81,0.75,1.25,62
"2017-04-30",20.35,20.86,19.91,78.93,81.19,76.46,16.28,16.7,15.89,1010.8,1011.05,1010.53,1.45,154.18,4.65,1041.68,113,0.41,0.47,1.4,0.9,0.4,0.8,35
"2017-05-31",18.44,18.85,18.05,86.78,88.66,84.85,16.01,16.36,15.69,1011.27,1011.57,1010.98,1.28,152.86,4.26,748.71,179.8,0.42,0.44,1,1.07,0,0.5,26
"2017-06-30",16.14,16.62,15.7,84.48,86.46,82.4,13.25,13.61,12.91,1012.68,1012.93,1012.41,1.11,174.89,3.72,784.67,197,0.26,0.17,1,0.67,0,0,10
"2017-07-31",16.8,17.41,16.22,75.65,78.21,73.04,12,12.45,11.58,1017.59,1017.84,1017.37,1.03,161.08,3.25,1030.21,17,0.39,0.19,1,0.89,0,0,14
"2017-08-31",17.48,18.02,17,80.06,82.46,77.62,13.65,14.13,13.25,1012,1012.3,1011.67,1.27,156.29,4.05,1030.44,104.4,0.73,0.25,1,1.84,0,0.25,15
"2017-09-30",20.31,20.8,19.84,81.49,83.65,79.18,16.66,17.07,16.27,1012.09,1012.4,1011.81,1.39,141.97,4.62,1033.95,166.4,0.45,0.27,1,1,0,0.25,16
"2017-10-31",20.01,20.52,19.54,78.22,80.78,75.72,15.64,16.18,15.19,1007.35,1007.74,1006.95,1.67,162.28,5.42,1280.79,289.8,0.5,0.35,1.2,1.02,0.6,0.2,26
"2017-11-30",20.72,21.3,20.13,73.89,76.89,70.98,15.31,15.92,14.73,1006.88,1007.17,1006.61,1.87,154.14,5.53,1610.27,136,0.69,0.52,2,1.32,1,1,31
"2017-12-31",23.93,24.52,23.36,76.41,79.33,73.5,19.1,19.68,18.58,1005.57,1005.83,1005.33,1.96,134.82,5.57,1546.96,153.2,0.63,0.73,2,1.22,1,0.8,54
"2018-01-31",24.55,25.15,24,77.28,80.17,74.37,19.95,20.52,19.47,1005.96,1006.22,1005.7,1.85,157.95,5.6,1456.22,149.8,0.38,0.74,2,0.89,1,1,44
"2018-02-28",23.78,24.39,23.19,77.16,80.08,74.21,19.15,19.68,18.65,1007.57,1007.8,1007.34,1.77,141.77,5.23,1592.73,110.4,0.5,0.62,1.25,1.06,0.75,0.75,37
"2018-03-31",22.99,23.52,22.49,79.94,82.51,77.23,18.98,19.48,18.5,1006.58,1006.86,1006.32,1.45,151.93,4.5,1311.84,116.6,0.28,0.45,2,0.73,1,0.75,27
"2018-04-30",23.14,23.65,22.67,81.21,83.58,78.82,19.41,19.86,19.03,1011.02,1011.23,1010.8,1.21,165.01,3.71,1139.08,88.8,0.4,0.24,1.4,0.91,0.8,0.2,18
"2018-05-31",18.05,18.54,17.6,82.31,84.61,79.98,14.71,15.11,14.35,1012.69,1012.92,1012.47,1.39,164.61,4.14,895.73,91.8,0.41,0.25,1,0.84,0,0.5,15
"2018-06-30",13.28,13.75,12.84,86.15,88.16,83.98,10.8,11.19,10.45,1013.75,1014.04,1013.45,1.3,207.15,4.03,720.25,145.2,0.42,0.08,1,1.25,0,0,5
"2018-07-31",14.52,14.92,14.14,87.67,89.48,85.88,12.29,12.64,11.99,1013.72,1014,1013.43,1.53,170.24,5,660.22,167.6,0.46,0.15,1,1.77,0,0,11
"2018-08-31",14.08,14.6,13.59,82.36,84.75,79.82,10.77,11.22,10.35,1014.39,1014.68,1014.11,1.68,176.92,4.98,1004.93,147.2,0.31,0.12,1,0.67,0,0,7
"2018-09-30",19.11,19.57,18.66,83.8,86.02,81.6,16.01,16.41,15.65,1009.89,1010.21,1009.56,1.89,137.24,5.67,1090.15,147,0.62,0.16,1,1.74,0.2,0.2,12
"2018-10-31",20.03,20.6,19.49,77.69,80.56,75,15.68,16.22,15.24,1009.42,1009.72,1009.1,1.89,144.38,5.54,1363.67,91.6,0.62,0.35,1,1.23,0,0.5,21
"2018-11-30",22.58,23.2,22.01,74.61,77.65,71.46,17.38,17.95,16.84,1007.57,1007.86,1007.29,1.85,148.69,5.48,1630.34,129.2,0.2,0.12,1,0.52,0.5,0,7
"2018-12-31",24.09,24.72,23.47,73.33,76.33,70.32,18.51,19.07,17.98,1006.91,1007.2,1006.63,1.82,166.94,5.44,1640.5,61.4,0.63,0.2,1.4,1.71,0.8,0.2,15
"2019-01-31",26.66,27.24,26.12,77.85,80.56,75.15,22.1,22.58,21.68,1006.89,1007.16,1006.61,1.8,167.88,5.51,1383.45,117.6,0.38,0.25,2,0.8,1,0.25,15
"2019-02-28",24.58,25.19,24,76.44,79.57,73.45,19.72,20.31,19.23,1007.15,1007.42,1006.88,1.65,159.3,5.04,1480.37,95.8,0.64,0.34,2,1.44,1,0.75,20
"2019-03-31",22.99,23.57,22.45,78.65,81.32,75.93,18.76,19.23,18.33,1009.74,1009.97,1009.51,1.59,164.78,4.91,1369.78,80.2,0.94,1.83,2.8,2.06,0.8,1.6,136
"2019-04-30",21.8,22.27,21.37,85.52,87.59,83.34,19.04,19.41,18.7,1009.1,1009.34,1008.85,1.37,160.78,4.42,1011.26,238,0.97,5.69,4,1.5,0.5,2,339
"2019-05-31",19.06,19.47,18.69,90.15,91.94,88.28,17.27,17.61,16.98,1010.67,1010.94,1010.38,1.26,150.62,4.32,714.45,250.6,0.59,7.19,4,1.05,0.25,2,428
"2019-06-30",18.47,19.02,17.94,79.23,81.79,76.66,14.46,14.9,14.05,1012.51,1012.75,1012.27,1.17,163.39,3.5,844.02,67.8,0.05,3.16,4,0.67,0,2,235
"2019-07-31",13.65,14.15,13.17,80.61,82.84,78.31,10.06,10.46,9.68,1014.1,1014.4,1013.81,1.27,179.76,3.95,797.07,134.2,0.17,0.77,1.75,0.6,0,1,46
"2019-08-31",15.57,16.17,15.02,74.54,77.25,71.89,10.63,11.12,10.2,1015.76,1016.1,1015.45,1.4,162.32,4.54,1132.33,79.4,0.24,0.49,1,0.71,0,0.75,29
"2019-09-30",16.91,17.47,16.39,76.06,78.61,73.47,12.23,12.76,11.74,1011.86,1012.22,1011.52,1.45,147.96,4.68,1191.06,90.8,0.56,0.39,1,1.17,0.2,0.6,29
"2019-10-31",20.59,21.11,20.12,78.76,81.17,76.27,16.2,16.68,15.78,1009.04,1009.42,1008.64,1.65,150.99,5.48,1104.72,277,0.32,0.25,1,0.76,0.5,0,15
"2019-11-30",22.24,22.81,21.68,73.57,76.52,70.68,16.8,17.43,16.24,1007.17,1007.45,1006.9,1.58,137.71,5.2,1556.06,91.2,0.64,0.45,1.5,1.35,0.75,0.75,27
"2019-12-31",24.93,25.66,24.22,61.31,64.66,57.98,16.16,16.93,15.42,1005.76,1006.03,1005.51,1.71,163.04,5.52,1868.12,20.2,0.42,0.51,1.6,0.99,1,0.8,38
"2020-01-31",25.32,26.02,24.67,70.41,73.43,67.42,19.08,19.63,18.54,1005.53,1005.77,1005.27,1.75,163.06,5.54,1585.66,81.6,0.63,0.79,2,1.26,1,1,47
"2020-02-29",24.81,25.51,24.19,68.1,71.02,65.1,18.06,18.66,17.51,1007.89,1008.12,1007.66,1.64,154.1,5.41,1721.9,83,0.47,0.72,1.75,0.98,0.75,1,43
"2020-03-31",24.48,25.11,23.91,71.13,73.81,68.43,18.37,18.92,17.88,1009.26,1009.47,1009.05,1.54,141.83,4.88,1545.15,23.4,0.3,0.39,1,0.71,0.6,0.4,29
"2020-04-30",20.44,21.04,19.91,70.94,73.42,68.31,14.52,15.01,14.05,1011.24,1011.47,1011,1.55,178.99,5.04,1192.67,30.8,0.44,0.25,1,0.94,0,0.25,15
"2020-05-31",16.83,17.4,16.3,74.98,77.37,72.6,11.86,12.29,11.47,1011.13,1011.38,1010.87,1.31,200.42,4.02,1005.79,132.2,0.33,0.12,1,0.74,0,0,9
"2020-06-30",16.45,16.93,15.99,79.76,81.86,77.6,12.61,13,12.26,1010.83,1011.14,1010.54,1.29,169.72,4.15,722.68,235.2,0.46,0.13,1,1.24,0,0,8
"2020-07-31",13.73,14.24,13.24,78.43,80.8,76.01,9.63,10.08,9.2,1012.23,1012.53,1011.89,1.39,181.68,4.38,841.67,262,0.46,0.08,1,1.2,0,0,5
"2020-08-31",16.1,16.68,15.53,75.38,78.01,72.76,11.21,11.72,10.74,1013.31,1013.63,1012.99,1.22,153.85,3.99,1057.54,78.4,0.22,0.04,1,0.49,0,0,3
"2020-09-30",16.87,17.33,16.42,81.81,83.84,79.67,13.42,13.86,13,1011.29,1011.74,1010.89,1.71,153.48,5.63,1005.3,230.2,0.65,0.08,1,4.05,0,0,5
"2020-10-31",19.36,19.93,18.86,76.87,79.37,74.38,14.81,15.35,14.35,1009.06,1009.36,1008.72,1.71,148.84,5.55,1285.1,97,0.53,0.1,1,1.14,0.25,0,6
"2020-11-30",21.7,22.33,21.11,72.58,75.27,69.82,16.14,16.67,15.64,1009.29,1009.54,1009.03,1.74,145.12,5.59,1544.94,52.4,0.53,0.13,1,1.16,0.6,0,10
"2020-12-31",23.89,24.55,23.28,71.47,74.4,68.5,18,18.61,17.44,1006.13,1006.41,1005.86,1.73,151.69,5.64,1600.59,119,0.35,0.03,1,0.99,0.5,0,2
"2021-01-31",25.07,25.73,24.55,71.84,74.47,68.97,19.12,19.71,18.63,1005.61,1005.88,1005.34,1.65,153.66,5.37,1436.66,129,0.68,0.09,1.6,4.95,1,0,7
"2021-02-28",24.56,25.18,23.97,72.08,74.92,69.22,18.82,19.38,18.32,1006.2,1006.42,1005.96,1.58,176.66,5.16,1649.74,30.2,0.53,0.12,2,1.23,1,0,7
"2021-03-31",23.69,24.26,23.17,77.53,79.97,74.98,19.22,19.69,18.82,1007.17,1007.4,1006.93,1.38,171.41,4.51,1262.34,79.2,0.56,0.15,2,1.17,1,0,9
"2021-04-30",21.77,22.39,21.23,71.69,74.21,69.11,16.04,16.52,15.61,1011.67,1011.87,1011.46,1.44,150.52,4.58,1269.54,27,0.85,0.92,2.25,2.38,0.25,1,55
"2021-05-31",15.51,16.06,15.02,76.38,78.74,74,10.98,11.45,10.57,1012.06,1012.32,1011.78,1.26,189.68,3.98,1012.25,164.8,0.24,0.54,1,0.64,0,0.6,40
"2021-06-30",14.38,14.8,14,81.87,83.66,80.05,11.11,11.46,10.79,1013.66,1013.93,1013.37,1.42,186.36,4.61,641.49,173.2,0.39,0.17,1,0.89,0,0,10
"2021-07-31",13.59,14.17,13.03,77.22,79.6,74.79,9.24,9.72,8.8,1015.07,1015.33,1014.82,1.25,180.61,3.92,985.8,46.6,0.38,0.12,1,0.8,0,0,7
"2021-08-31",16.54,17.05,16.03,80.21,82.37,78,12.72,13.14,12.32,1013.8,1014.12,1013.48,1.35,132.41,4.51,979.25,135,0.24,0.05,1,0.52,0,0,4
"2021-09-30",18.21,18.7,17.77,79.4,81.63,77.16,14.28,14.74,13.88,1010.3,1010.68,1009.97,1.59,157.79,5.31,1017.7,202.2,0.57,0.12,1,1.91,0,0,7
"2021-10-31",19.68,20.27,19.14,71.96,74.62,69.2,14,14.56,13.47,1009.71,1009.99,1009.41,1.66,146.57,5.34,1456.05,60.4,0.37,0.08,1,0.95,0.2,0,6
"2021-11-30",21.9,22.52,21.32,69.75,72.47,67.05,15.44,16.05,14.9,1006.85,1007.11,1006.6,1.63,153.3,5.39,1591.07,85,0.48,0.15,1,1.35,0.25,0,9
"2021-12-31",23.25,23.86,22.67,71.77,74.45,69.01,17.42,17.97,16.87,1006.77,1007,1006.55,1.86,134.46,6.07,1634.14,87.4,0.38,0.08,1,0.78,0.5,0,5
"2022-01-31",26.21,26.87,25.57,71.14,73.96,68.15,20.08,20.66,19.5,1005.14,1005.43,1004.86,1.62,155.23,5.35,1556.68,195.2,0.58,0.26,2,1.57,1,0,19
"2022-02-28",25.2,25.81,24.62,71.01,73.79,68.16,19.05,19.62,18.49,1005.9,1006.14,1005.66,1.5,163.04,4.84,1679.1,29,0.86,1.75,2.5,3.12,1,1,104
"2022-03-31",22.67,23.21,22.17,76.84,79.24,74.4,18.1,18.57,17.68,1007.59,1007.85,1007.31,1.45,172.12,4.89,1142.21,184.8,1,31.06,3.75,3.33,0.5,2,1849
"2022-04-30",19.8,20.3,19.32,79.07,81.33,76.65,15.77,16.23,15.34,1009.89,1010.14,1009.63,1.21,148.93,4.09,1004.96,116.2,0.75,58.41,4,1.25,0.25,2,3477
"2022-05-31",15.64,16.1,15.23,84.43,86.29,82.38,12.8,13.2,12.43,1011.75,1012,1011.48,1.24,182.63,3.99,778.77,153.8,0,19.41,4,0.53,0,2,1444
"2022-06-30",13.1,13.52,12.7,83.77,85.41,82.04,10.2,10.57,9.84,1012.84,1013.13,1012.55,1.11,177.38,3.72,690.88,99,0.23,4.38,3.25,0.62,0,1.75,261
"2022-07-31",16.35,16.86,15.88,83.82,85.79,81.75,13.4,13.8,13.02,1010.44,1010.77,1010.13,1.21,152.88,3.93,733.23,150.2,0.19,3.05,3.4,0.78,0,1.6,227
"2022-08-31",15.15,15.67,14.65,78.73,81.13,76.38,11.11,11.59,10.67,1014.14,1014.47,1013.83,1.37,147.99,4.47,994.88,103.6,0.1,0.99,1,0.62,0,1,59
"2022-09-30",16.52,17.07,15.99,75.62,78.65,72.46,11.85,12.39,11.33,1012.51,1012.82,1012.2,1.56,153.32,5.16,1225.74,73.2,0.35,0.72,1,0.85,0,1,43
"2022-10-31",19.02,19.56,18.51,75.58,78.42,72.79,14.16,14.68,13.7,1009.18,1009.47,1008.88,1.67,171.58,5.44,1272.03,96.2,0.47,0.63,1,0.98,0.2,0.8,47
"2022-11-30",21,21.64,20.4,70.62,73.97,67.2,14.85,15.53,14.23,1010.78,1011.02,1010.56,1.72,144.11,5.62,1637.01,52.2,0.75,1.08,1.25,1.39,0.75,1,64
"2022-12-31",24.08,24.75,23.46,69.78,72.95,66.59,17.68,18.31,17.08,1005.59,1005.83,1005.33,1.72,143.94,5.75,1680.97,63.6,0.28,0.47,1.5,0.6,0.75,0.5,28
"2023-01-31",26.12,26.83,25.45,69.49,72.65,66.15,19.5,20.1,18.91,1005.8,1006.06,1005.54,1.64,152.14,5.33,1658.08,53.2,0.61,1.49,2.2,1.96,1,1,111
"2023-02-28",24.74,25.38,24.13,71.7,74.86,68.44,18.63,19.24,18.06,1006.18,1006.42,1005.92,1.43,164.74,4.65,1529.59,116.4,0.79,2.99,2.25,1.83,1,1.25,168
"2023-03-31",25.48,26.09,24.9,75.7,78.75,72.6,20.53,21.05,20.05,1007.6,1007.86,1007.36,1.4,155.19,4.64,1343.14,89.8,1,20.99,3.75,2.36,1,2,1179
"2023-04-30",20.6,21.14,20.11,73.22,76.02,70.52,15.28,15.79,14.87,1009.67,1009.89,1009.46,1.34,168.06,4.4,1109.44,35.2,0.98,58.82,4,1.43,0.4,2,4130
"2023-05-31",18.39,18.91,17.94,80.67,83.02,77.99,14.69,15.11,14.3,1012.25,1012.5,1012,1.07,165.38,3.44,912.54,106.8,0,41.68,4,0.75,0,2,2341
"2023-06-30",16.29,16.79,15.82,80.11,82.64,77.49,12.56,12.97,12.16,1013.33,1013.6,1013.06,1.16,180.79,3.7,775.61,247.6,0,10.61,4,0.43,0,2,596
"2023-07-31",15.46,15.95,15,81.57,83.87,79.17,12.05,12.44,11.68,1013.71,1014,1013.41,1.31,155.14,4.23,835.22,210.8,0.13,4.81,4,0.79,0,2,338
"2023-08-31",16.7,17.28,16.13,73.81,76.95,70.67,11.49,12.08,10.93,1010.91,1011.22,1010.61,1.27,165.16,4.12,1198.08,77,0.33,3.92,4,0.88,0.25,1.75,220
"2023-09-30",18.32,18.79,17.86,83.19,85.41,80.95,15.09,15.52,14.71,1008.5,1008.97,1008.03,1.57,143.25,5.49,798.82,394.8,0.16,2.01,1,0.74,0.25,1,113
"2023-10-31",18.96,19.46,18.49,78.12,80.78,75.3,14.81,15.32,14.34,1008.11,1008.46,1007.75,1.55,146.75,5.18,1134.84,110,0.33,1.25,1.2,0.87,0.6,1,88
"2023-11-30",21.34,21.87,20.85,78.12,80.78,75.3,16.95,17.52,16.46,1005.85,1006.21,1005.46,1.67,145.57,5.55,1217.81,342.8,0.57,1.44,2,1.07,1,1,81
"2023-12-31",24.55,25.16,23.99,74.54,77.65,71.49,19.37,20.01,18.84,1006.31,1006.6,1006,1.56,155.89,5.42,1501.95,88.6,0.65,2.02,1.6,1.39,0.8,1.2,142
"2024-1-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
"2024-2-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112
"2024-3-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688
"2024-4-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2993
"2024-5-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2541
"2024-6-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523
"2024-7-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227
"2024-8-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153
"2024-9-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98
"2024-10-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73
"2024-11-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66
"2024-12-31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76
